Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.406,44.322,45.544,47.134,47.899,44.729,45.937,48.442,52.208,54.701,57.238,56.02,53.181,52.919,59.773,62.141,60.258,59.539,58.593,55.0,52.062,49.261,45.625,42.707,40.121,37.84,35.844,33.966,31.925,29.888,2018.0
Ghana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.712,56.485,52.3,38.859,31.075,15.545,16.966,22.353,24.321,32.166,28.587,34.024,40.165,46.253,50.671,52.006,52.033,54.788,60.408,60.427,59.761,58.666,56.372,55.437,2018.0
Guyana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.721,125.85,112.244,108.994,119.59,121.058,108.609,107.898,103.647,80.25,46.41,48.083,49.455,50.25,52.475,50.292,46.25,45.333,45.26,50.737,51.35,52.938,55.497,24.591,23.081,22.972,17.863,15.525,2018.0
Hungary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.08,61.82,62.782,63.282,71.763,72.531,72.42,70.685,70.901,70.379,71.36,68.924,66.318,63.75,60.42,57.983,55.826,53.99,52.387,50.996,2018.0
Iceland,0.0,0.0,0.446,5.733,5.641,5.879,8.777,7.919,9.592,16.927,18.584,19.314,26.024,33.986,36.974,38.864,38.504,36.562,40.833,36.08,34.44,39.525,36.553,35.395,29.517,18.652,20.219,17.482,52.69,65.186,64.308,59.937,62.012,60.513,53.611,47.361,39.697,35.609,30.125,28.852,27.734,26.558,25.2,23.891,22.601,2018.0
India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.83,68.78,67.67,67.38,68.05,69.04,68.52,67.75,66.93,66.19,65.61,2018.0
Indonesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.835,21.264,19.687,17.758,18.577,20.6,20.377,22.043,23.451,25.29,26.326,26.812,26.778,26.99,27.099,27.182,27.238,2018.0
Islamic Republic of Iran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.206,15.435,17.24,11.815,6.292,-1.005,9.182,7.428,4.82,-0.499,-0.835,-2.743,-2.598,2.48,1.902,-2.51,1.332,-5.644,-5.623,21.688,34.497,28.85,25.485,27.28,27.315,26.726,27.042,28.096,29.304,2018.0
Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.123,35.582,25.344,21.488,23.157,22.839,20.379,18.182,14.933,14.884,23.252,37.359,66.934,79.897,87.615,90.59,86.579,66.196,65.641,59.672,55.121,52.974,51.448,49.676,47.037,44.328,41.423,2018.0
Israel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.5,72.3,79.4,82.1,82.1,79.0,71.1,65.1,64.4,66.4,64.2,63.2,63.1,62.1,61.7,59.9,58.4,56.8,57.335,58.56,59.693,60.488,61.261,62.026,62.826,2017.0
Italy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.461,88.826,91.804,94.809,101.594,111.585,117.335,100.875,107.265,104.902,102.612,100.337,96.568,96.461,93.811,93.203,92.6,93.451,94.196,92.135,94.074,102.753,104.729,106.57,111.41,116.501,118.695,119.386,118.953,119.182,120.188,121.277,122.024,122.444,122.729,122.967,123.167,2018.0
Japan,17.802,21.536,25.926,30.715,33.125,34.45,37.316,34.472,28.993,22.796,19.424,17.603,19.75,24.108,30.358,37.855,41.84,45.733,55.312,64.359,67.697,75.022,85.579,91.48,95.16,96.35,95.412,97.58,108.494,122.746,131.065,142.441,146.748,146.356,148.514,147.798,152.568,151.06,153.201,153.761,153.711,154.441,154.137,153.753,153.633,2017.0
Jordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.978,203.789,212.972,191.973,143.474,129.724,116.795,107.636,103.06,95.168,104.364,101.321,88.244,92.623,94.99,98.103,88.748,83.96,68.855,67.595,54.838,57.124,61.096,65.115,74.438,78.954,79.689,84.871,86.524,88.004,89.716,90.098,89.804,88.351,85.356,82.758,80.205,2018.0
Kazakhstan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.852,3.58,0.028,-6.129,-10.855,-13.792,-13.913,-11.03,-10.249,-12.706,-15.941,-17.604,-19.14,-30.754,-23.759,-16.16,-16.364,-15.284,-14.293,-13.249,-12.197,-11.079,-10.158,2018.0
Kenya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.633,50.353,49.836,52.5,58.442,56.302,49.66,43.792,39.906,34.423,37.132,36.864,40.223,39.063,40.137,40.093,44.418,46.332,49.106,49.387,54.44,57.291,57.969,58.377,58.413,59.127,59.532,2018.0
Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.625,21.754,24.485,26.482,25.661,25.739,28.678,27.958,28.718,-1.922,1.805,3.29,5.993,11.104,11.161,11.406,13.627,16.897,19.898,22.454,24.767,26.786,2017.0
Latvia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.375,10.501,9.438,8.8,8.904,8.301,5.939,4.142,7.896,18.816,28.986,31.646,29.852,29.655,29.598,31.058,31.001,31.508,27.61,28.462,27.417,27.921,27.436,26.249,25.454,2018.0
Lebanon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.255,161.243,157.859,168.633,164.191,170.772,178.142,163.215,149.123,130.866,127.649,128.276,123.12,126.128,129.478,134.286,140.443,143.41,146.837,151.099,157.913,163.293,168.392,174.755,181.933,2017.0
Lesotho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.228,0.109,0.109,20.838,13.449,16.803,5.369,-2.775,-9.986,-15.874,-4.107,1.892,-2.887,-2.133,-4.164,-0.377,-1.279,-1.502,3.052,3.466,7.174,12.029,13.008,12.361,4.538,2018.0
Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.976,469.741,462.266,591.053,526.697,466.475,421.46,312.135,200.276,110.954,16.782,16.97,15.241,15.887,18.114,20.13,22.837,31.519,38.721,40.923,47.228,52.734,55.524,60.264,62.009,2018.0
Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.943,14.3,10.725,11.697,11.579,10.346,10.488,10.09,7.879,8.255,10.054,20.834,26.321,33.127,33.435,34.174,32.706,34.648,32.288,32.381,27.589,25.585,23.971,22.649,21.48,20.477,19.502,2018.0
