Suma de ECI,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Valor Total
China,0.554406,0.523755,0.475237,0.511791,0.564777,0.541641,0.56752,0.525819,0.514375,0.543544,0.497583,0.484235,0.341003,0.278706,0.291819,0.299534,0.320765,0.320562,0.313648,0.282005,0.27951,0.23883,0.147123,0.134055,0.246918,0.234761,0.254205,0.284872,0.269057,0.170488,0.089156,0.234956,0.221438,0.328308,0.254555,0.233022,0.307929,0.378568,0.41801,0.442061,0.452979,0.474971,0.587449,0.632635,0.715732,0.753508,0.774908,0.909906,1.00792,1.04036,1.16379,0.60941,0.642376,0.691307,24.377798
Colombia,-0.412196,-0.244653,0.116634,-0.020913,-0.168593,-0.360003,-0.193596,-0.118563,-0.088109,0.106428,0.253689,0.267366,0.141144,-0.015421,-0.191699,-0.15778,-0.220389,-0.021815,0.198478,0.198326,0.256464,0.059858,-0.04428,-0.190655,-0.178329,-0.108131,-0.183715,-0.086006,-0.040668,-0.092689,-0.137058,-0.057388,-0.052715,0.003091,-0.033018,0.065018,0.130317,0.154886,0.165579,0.141137,0.108143,0.108932,0.053324,0.024946,0.220323,0.21155,0.18691,-0.001219,0.049744,-0.234596,-0.194463,0.0953318,0.11439,0.144356,-0.2722952
Costa Rica,-0.019055,0.50225,0.544684,0.687943,0.659682,0.543581,0.585106,0.474371,0.577735,0.53157,0.619416,0.607385,0.383784,0.301146,0.30829,0.354579,0.359232,0.284733,0.214813,0.151419,0.122502,-0.05328,-0.158359,-0.123305,-0.00306,-0.003063,-0.07688,-0.013234,-0.004627,-0.039951,-0.155692,-0.202471,-0.259614,-0.11906,-0.143079,-0.11122,-0.046819,-0.057797,0.102606,0.010613,-0.004518,0.006471,-0.074199,-0.022522,0.076485,0.099231,0.10939,0.024263,0.247592,0.158575,0.093993,0.135131,0.231586,0.237988,8.65634
Cote d'Ivoire,-0.915735,-0.718535,-0.998812,-0.947142,-1.00629,-1.18414,-1.10706,-1.23779,-1.14784,-1.18693,-1.3391,-1.1907,-1.5193,-1.17047,-1.18251,-1.04431,-1.08692,-1.02644,-1.16171,-0.930862,-1.03352,-0.966269,-1.40121,-1.51558,-1.37116,-1.2969,-1.34105,-1.34779,-1.5516,-1.69313,-1.56816,-1.53247,-1.2875,-1.37382,-1.26317,-1.30078,-1.156,-1.08336,-1.14553,-1.23738,-1.27946,-1.2167,-1.31008,-1.29502,-1.26803,-1.36195,-1.4005,-1.20641,-1.0558,-1.05279,-1.17654,-0.965066,-0.987537,-1.12772,-65.272578
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00807,0.889459,0.818057,0.824962,0.74655,0.727172,0.677189,0.632074,0.665432,0.631126,0.638124,0.645311,0.681113,0.735727,0.787117,0.842586,0.806099,0.853091,0.926024,0.91927,0.92595,0.822129,0.837178,0.657789,0.666972,0.623091,19.987662
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.274702,-0.379871,-0.654573
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33772,1.39329,1.4509,1.42569,1.40372,1.43721,1.48955,1.5289,1.52518,1.56631,1.55938,1.53388,1.54784,1.55209,1.52445,1.5676,1.56901,1.55689,1.69489,1.68896,1.53381,1.52129,1.67011,1.66047,1.6431,38.38224
Democratic Republic of the Congo,,,,,,,,,,,,,,,,,-1.49539,-1.57941,-1.49485,-1.5312,-1.34137,-1.24149,-1.30384,-1.45864,-1.24313,-1.20444,-1.14496,-1.17493,-1.46347,-1.43311,-1.38968,-1.32594,-1.32809,-1.38505,-1.33985,-1.52529,-1.27315,-1.1108,-1.10486,-1.1042,-1.16123,-1.34175,-1.35887,-1.17151,-1.11877,-1.23828,-1.06271,-1.06695,-1.29544,,,,,,-42.81265
Denmark,1.43533,1.46002,1.31681,1.31177,1.30555,1.32305,1.38827,1.35966,1.37284,1.35135,1.29079,1.32153,1.2192,1.22964,1.32044,1.34456,1.36878,1.35121,1.36344,1.37149,1.39044,1.50081,1.48869,1.50483,1.56451,1.62226,1.6333,1.69053,1.76411,1.72646,1.77819,1.59706,1.52388,1.51091,1.49822,1.58105,1.58813,1.56798,1.54904,1.50739,1.50872,1.4818,1.44935,1.40257,1.33589,1.30232,1.29129,1.2369,1.13685,0.995356,0.95349,1.23141,1.21947,1.1577,76.096636
Dominican Republic,-0.697067,-1.10972,-0.666334,-0.73996,-0.826126,-0.558,-0.688536,-0.443618,-0.40791,-0.255854,-0.111751,-0.217707,-0.26608,-0.269721,-0.055693,-0.15358,-0.198638,-0.241778,-0.242779,-0.179084,-0.332858,-0.178757,-0.151004,-0.110589,-0.130617,-0.248173,-0.298144,-0.314759,-0.270596,-0.507464,-0.598513,-0.496314,-0.469361,-0.453478,-0.558683,-0.7221,-0.55851,-0.502652,-0.541407,-0.469881,-0.300896,-0.332228,-0.211474,-0.222327,-0.167914,-0.225693,-0.237717,-0.26414,-0.256286,-0.406432,-0.40546,-0.422355,-0.382253,-0.363374,-20.442345
